Region/Country/AreaId,Region/Country/Area,Type,Year,Series,Value,,Row Labels,Row Labels,,Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Labels
1,"Total, all countries or areas",Region,2010,Population mid-year estimates (millions),"6,985.60",,2010,Afghanistan,Country,,2010,,,,,,,2010 Total,2015,,,,,,,,2015 Total,2017,,,,,,,,2017 Total,2020,,,,,,,,2020 Total,2022,,,,,,,2022 Total,(blank),(blank) Total,Grand Total,,Afghanistan
202,Sub-Saharan Africa,Region,2020,Population mid-year estimates for males (millions),552.5,,,Honduras,Country,Haiti,36,6.1,357,9.84,4.95,4.89,98.8,517.58,34.2,6.5,383.2,10.56,5.32,5.25,98.7,28,571.73,,,,,,,,,,32.6,7,410.1,11.31,5.7,5.61,98.3,28,598.62,32.1,7.1,420.2,11.59,5.85,5.74,98.2,580.78,,,2268.71,,Honduras
202,Sub-Saharan Africa,Region,2020,Population mid-year estimates for females (millions),556.76,,,Hungary,Country,Holy See,,,1353.4,,,,,1353.4,,,1281.8,,,,,0,1281.8,,,,,,,,,,,,1181.8,,,,,0,1181.8,,,1160.2,,,,,1160.2,,,4977.2,,Hungary
202,Sub-Saharan Africa,Region,2020,Sex ratio (males per 100 females),99.2,,,Iceland,Country,Honduras,37.7,5,77.5,8.45,4.18,4.27,102.4,239.5,34.2,5.7,85.2,9.29,4.6,4.7,102.3,112,357.99,,,,,,,,,,31.1,6.4,92.8,10.12,5.01,5.11,102.1,112,364.64,30.1,6.6,95.6,10.43,5.17,5.27,102,255.17,,,1217.3,,Iceland
202,Sub-Saharan Africa,Region,2020,Population aged 0 to 14 years old (percentage),42.3,,,India,Country,Hungary,14.7,22.6,110.3,9.99,5.24,4.74,90.5,258.07,14.5,25.4,108.7,9.84,5.15,4.69,91.1,93,352.38,,,,,,,,,,14.6,26.6,107.7,9.75,5.08,4.67,92,93,353.4,14.4,25.8,110.1,9.97,5.18,4.79,92.3,262.54,,,1226.39,,India
202,Sub-Saharan Africa,Region,2020,Population aged 60+ years old (percentage),4.8,,,Indonesia,Country,Iceland,20.9,17,3.2,0.32,0.16,0.16,101.2,142.94,20.2,19.1,3.3,0.33,0.16,0.17,101,103,247.26,,,,,,,,,,18.7,20.2,3.7,0.37,0.18,0.19,105.3,103,251.64,18.5,21,3.7,0.37,0.18,0.19,105.2,149.14,,,790.98,,Indonesia
202,Sub-Saharan Africa,Region,2020,Population density,50.7,,,Iran (Islamic Republic of),Country,India,31,7.8,417.3,1240.61,599.05,641.57,107.1,3044.43,28.6,8.9,444.9,1322.87,639.32,683.54,106.9,3287,6522.03,,,,,,,,,,26.1,10.2,469.7,1396.39,675.39,721,106.8,3287,6692.58,25.3,10.5,476.7,1417.17,685.99,731.18,106.6,3453.44,,,19712.48,,Iran (Islamic Republic of)
202,Sub-Saharan Africa,Region,2020,Surface area (thousand km2),"21,879",,,Iraq,Country,Indonesia,27.9,8.7,127.7,244.02,121.13,122.88,101.4,753.73,26.9,9.3,135.6,259.09,128.57,130.52,101.5,1911,2702.48,,,,,,,,,,25.7,10.5,142.3,271.86,134.93,136.93,101.5,1911,2734.72,25.2,10.9,144.2,275.5,136.8,138.7,101.4,832.7,,,7023.63,,Iraq
202,Sub-Saharan Africa,Region,2022,Population mid-year estimates (millions),"1,166.77",,,Ireland,Country,Iran (Islamic Republic of),22.3,7.8,46.3,75.37,37.07,38.3,103.3,330.44,23.5,9.2,50.2,81.79,40.34,41.45,102.8,1629,1978.28,,,,,,,,,,24,10.9,53.6,87.29,43.16,44.13,102.3,1631,1996.38,23.6,11.6,54.4,88.55,43.84,44.71,102,368.7,,,4673.8,,Ireland
202,Sub-Saharan Africa,Region,2022,Population mid-year estimates for males (millions),581.31,,,Isle of Man,Country,Iraq,41.2,4.7,72,31.26,15.71,15.56,99,279.43,40.3,5,87,37.76,18.91,18.85,99.7,435,742.52,,,,,,,,,,38.5,5,98,42.56,21.26,21.3,100.2,435,761.82,37.7,5.1,102.5,44.5,22.21,22.29,100.4,334.7,,,2118.47,,Isle of Man
202,Sub-Saharan Africa,Region,2022,Population mid-year estimates for females (millions),585.46,,,Israel,Country,Ireland,21.1,16.1,66.2,4.52,2.28,2.25,98.7,211.15,21.4,18.1,68.2,4.67,2.36,2.31,97.9,70,284.94,,,,,,,,,,20.2,19.7,72.3,4.95,2.5,2.45,98.2,70,290.3,19.6,20.5,73.5,5.02,2.53,2.49,98.3,221.94,,,1008.33,,Israel
202,Sub-Saharan Africa,Region,2022,Sex ratio (males per 100 females),99.3,,,Italy,Country,Isle of Man,16.7,24.4,146.6,0.08,0.04,0.04,98.6,286.46,16.1,26.5,146.1,0.08,0.04,0.04,98.2,1,288.06,,,,,,,,,,15.2,28.5,146.9,0.08,0.04,0.04,98.2,1,289.96,14.7,29.4,147.8,0.08,0.04,0.04,98.1,290.16,,,1154.64,,Italy
